Digikey item,Count
1124-1356-ND,5
1124-1421-ND,12
CP-102B-ND,1
151-1119-ND,1
A19450-ND,1
296-19310-1-ND,12
490-4311-1-ND,84
587-1755-1-ND,40
490-10695-1-ND,48
311-39.0HRTR-ND,16
296-15172-1-ND,8
311-470HRCT-ND,4
399-9057-1-ND,4
YAG3125CT-ND,4
478-10205-1-ND,4
478-6720-1-ND,4
399-1061-1-ND,8
ADCMP553BRMZ-ND,4
MC100ELT21DGOS-ND,4
296-22859-1-ND,4
296-11933-1-ND,4
MCP6001T-I/OTCT-ND,4
311-82.5HRCT-ND,8
311-124HRCT-ND,8
3266W-503LF-ND,4
LL101C-GS08CT-ND,8
MAX9378EUA+-ND,4
490-4392-1-ND,28
3266W-103LF-ND,11
1SS387L3FCT-ND,8
36-11011-R-ND,6
S9000-ND,7
A26543-ND,4
ED10563-ND,4
CT2064ST-ND,3
311-10KGRCT-ND,12
MAX4634EUB+TCT-ND,1
296-39196-5-ND,2
399-9371-1-ND,3
A26545-ND,3
DS90LV019TM/NOPB-ND,1
399-4925-2-ND,4
732-7146-ND,2
1470-1968-5-ND,1
102-2833-ND,1
709-1036-1-ND,1
587-2988-1-ND,2
AIUR-07-120K-ND,1
M8872-ND,1
P5184-ND,2
SMCJ48AFSCT-ND,1
493-11380-1-ND,1
493-13464-1-ND,2
RLB0914-120KL-ND,1
P19712CT-ND,4
445-6007-2-ND,4
311-0.18LWCT-ND,2
F1504-ND,1
311-.4QCT-ND,1
CSR2010JTR300CT-ND,1
360-3351-ND,1
C503B-GCN-CY0C0791-ND,3
36-5001-ND,9
S3MFSCT-ND,1
36-11011-B-ND,1
